menu_xmlid,current_path,current_name,action_xmlid,group_xmlids,level,technical_name_risk,proposed_level_1,proposed_level_2,proposed_level_3,decision,product_owner_evidence,runtime_evidence,migration_compatibility,unresolved_reason
smart_construction_core.menu_sc_deposit_management_group,智慧施工管理平台 / 财务中心 / 保证金管理,保证金管理,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_deposit_receive,智慧施工管理平台 / 财务中心 / 保证金管理 / 保证金收取,保证金收取,smart_construction_core.action_sc_expense_claim_deposit_receive,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_dictionary,智慧施工管理平台 / 配置中心 / 业务基础数据 / 数据字典,数据字典,smart_construction_core.action_sc_dictionary_manage,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_dictionary_all,智慧施工管理平台 / 系统配置 / 定额字典 / 全部定额字典,全部定额字典,smart_construction_core.action_project_dictionary,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_dictionary_chapter,智慧施工管理平台 / 系统配置 / 定额字典 / 章节,章节,smart_construction_core.action_project_dictionary_chapter,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_dictionary_discipline,智慧施工管理平台 / 系统配置 / 定额字典 / 专业,专业,smart_construction_core.action_project_dictionary_discipline,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_dictionary_quota_item,智慧施工管理平台 / 系统配置 / 定额字典 / 定额项目,定额项目,smart_construction_core.action_project_dictionary_quota_item,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_dictionary_root,智慧施工管理平台 / 系统配置 / 定额字典,定额字典,,smart_construction_core.group_sc_cap_business_config_admin,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_dictionary_sub_item,智慧施工管理平台 / 系统配置 / 定额字典 / 子目,子目,smart_construction_core.action_project_dictionary_sub_item,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_doc_center,智慧施工管理平台 / 项目中心 / 施工资料,施工资料,,smart_construction_core.group_sc_cap_project_read,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_document_admin_center,智慧施工管理平台 / 资料证照,资料证照,,"smart_construction_core.group_sc_cap_business_config_admin,smart_construction_core.group_sc_cap_business_initiator",1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_document_borrow,智慧施工管理平台 / 资料证照 / 借阅申请,借阅申请,smart_construction_core.action_sc_document_borrow,"smart_construction_core.group_sc_cap_business_config_admin,smart_construction_core.group_sc_cap_business_initiator",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_engineering_progress_income,智慧施工管理平台 / 财务中心 / 收付款办理 / 工程进度款收入登记,工程进度款收入登记,smart_construction_core.action_sc_receipt_income_engineering_progress,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_equipment_management_group,智慧施工管理平台 / 物资与分包 / 机械设备,机械设备,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_equipment_plan,智慧施工管理平台 / 物资与分包 / 机械设备 / 设备计划,设备计划,smart_construction_core.action_sc_equipment_plan,smart_construction_core.group_sc_internal_user,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_equipment_request,智慧施工管理平台 / 物资与分包 / 机械设备 / 设备申请,设备申请,smart_construction_core.action_sc_equipment_request,smart_construction_core.group_sc_internal_user,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_equipment_settlement,智慧施工管理平台 / 物资与分包 / 机械设备 / 设备结算,设备结算,smart_construction_core.action_sc_equipment_settlement,smart_construction_core.group_sc_internal_user,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_equipment_shift_acceptance,智慧施工管理平台 / 物资与分包 / 机械设备 / 机械台班记录,机械台班记录,"'ir.actions.act_window,%d' % ref('smart_construction_core.action_sc_equipment_usage_shift_user_confirmed')",smart_construction_core.group_sc_internal_user,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_equipment_usage,智慧施工管理平台 / 物资与分包 / 机械设备 / 设备使用登记,设备使用登记,smart_construction_core.action_sc_equipment_usage,smart_construction_core.group_sc_internal_user,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_claim,智慧施工管理平台 / 财务中心 / 费用与保证金 / 费用报销单,费用报销单,smart_construction_core.action_sc_expense_claim_expense,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_execution,智慧施工管理平台 / 合同中心 / 支出合同台账 / 支出合同执行,支出合同执行,smart_construction_core.action_construction_contract_expense_execution,smart_construction_core.group_sc_cap_contract_read,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_group,智慧施工管理平台 / 合同中心 / 支出合同台账,支出合同台账,smart_construction_core.action_sc_expense_contract_ledger,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_labor,智慧施工管理平台 / 合同中心 / 支出合同台账 / 劳务合同,劳务合同,smart_construction_core.action_construction_contract_expense_labor,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_material,智慧施工管理平台 / 合同中心 / 支出合同台账 / 材料合同,材料合同,smart_construction_core.action_construction_contract_expense_material,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_normal,智慧施工管理平台 / 合同中心 / 支出合同台账 / 正常合同,正常合同,smart_construction_core.action_construction_contract_expense_normal,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_other,智慧施工管理平台 / 合同中心 / 支出合同台账 / 其他合同,其他合同,smart_construction_core.action_construction_contract_expense_other,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_rental,智慧施工管理平台 / 合同中心 / 支出合同台账 / 租赁合同,租赁合同,smart_construction_core.action_construction_contract_expense_rental,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_settlement,智慧施工管理平台 / 合同中心 / 支出合同台账 / 支出合同结算,支出合同结算,smart_construction_core.action_sc_settlement_order_expense,smart_construction_core.group_sc_cap_settlement_read,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_subcontract,智慧施工管理平台 / 合同中心 / 支出合同台账 / 分包合同,分包合同,smart_construction_core.action_construction_contract_expense_subcontract,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_supplement,智慧施工管理平台 / 合同中心 / 支出合同台账 / 补充合同,补充合同,smart_construction_core.action_construction_contract_expense_supplement,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_contract_variation,智慧施工管理平台 / 合同中心 / 支出合同台账 / 支出合同签证,支出合同签证,smart_construction_core.action_sc_expense_contract_variation,smart_construction_core.group_sc_cap_settlement_read,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_reimbursement_group,智慧施工管理平台 / 财务中心 / 费用与保证金,费用与保证金,smart_construction_core.action_sc_expense_claim_reimbursement_request,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_reimbursement_summary_report,智慧施工管理平台 / 统计分析 / 成本报表 / 报销统计,报销统计,smart_construction_core.action_sc_expense_reimbursement_summary,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_expense_tax_adjustment_fact_group,智慧施工管理平台 / 财务中心 / 扣款税费核对,扣款税费核对,,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_finance_analysis_group,智慧施工管理平台 / 统计分析 / 财务分析,财务分析,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_finance_business_fact,智慧施工管理平台 / 财务中心 / 资金分析 / 项目收付款来源明细,项目收付款来源明细,smart_construction_core.action_sc_finance_business_fact,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_finance_business_project_summary,智慧施工管理平台 / 财务中心 / 资金分析 / 项目收付款汇总,项目收付款汇总,smart_construction_core.action_sc_finance_business_project_summary,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_finance_center,智慧施工管理平台 / 财务中心,财务中心,,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user,smart_construction_core.group_sc_cap_settlement_manager,smart_construction_core.group_sc_cap_settlement_read,smart_construction_core.group_sc_cap_settlement_user",1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_finance_counterparty_position_summary,智慧施工管理平台 / 财务中心 / 资金分析 / 往来对象资金总览,往来对象资金总览,smart_construction_core.action_sc_finance_counterparty_position_summary,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_finance_interfund_analysis,智慧施工管理平台 / 财务中心 / 资金分析,资金分析,,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_finance_project_capital_position,智慧施工管理平台 / 财务中心 / 资金分析 / 项目资金总览,项目资金总览,smart_construction_core.action_sc_finance_project_capital_position,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_finance_project_counterparty_position,智慧施工管理平台 / 财务中心 / 资金分析 / 项目与对象资金往来,项目与对象资金往来,smart_construction_core.action_sc_finance_project_counterparty_position,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_financing_loan,智慧施工管理平台 / 财务中心 / 资金往来办理 / 借款申请,借款申请,smart_construction_core.action_sc_financing_loan_borrowing,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_financing_loan_registration,智慧施工管理平台 / 财务中心 / 资金往来办理 / 贷款登记,贷款登记,smart_construction_core.action_sc_financing_loan_registration,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fuel_card_archive_group,智慧施工管理平台 / 财务中心 / 油卡管理,油卡管理,,smart_construction_core.group_sc_cap_finance_read,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_account_between_user,智慧施工管理平台 / 财务中心 / 资金往来办理 / 账户间资金往来,账户间资金往来,smart_construction_core.action_sc_fund_account_between_user,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_account_group,智慧施工管理平台 / 财务中心 / 资金往来办理,资金往来办理,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_account_user_group,智慧施工管理平台 / 财务中心 / 资金账户,资金账户,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_balance_adjustment,智慧施工管理平台 / 财务中心 / 资金往来办理 / 余额调整,余额调整,smart_construction_core.action_sc_fund_balance_adjustment,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_daily_summary,智慧施工管理平台 / 统计分析 / 财务分析 / 企业资金日报汇总,企业资金日报汇总,smart_construction_core.action_sc_fund_daily_summary,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_daily_user_group,智慧施工管理平台 / 财务中心 / 资金日报,资金日报,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_daily_user_report,智慧施工管理平台 / 财务中心 / 资金往来办理 / 资金日报表,资金日报表,smart_construction_core.action_sc_fund_daily_user_report,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_loan_repayment_group,智慧施工管理平台 / 财务中心 / 借还款办理,借还款办理,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_transfer_between,智慧施工管理平台 / 财务中心 / 资金往来办理 / 资金调拨,资金调拨,smart_construction_core.action_sc_fund_transfer_between,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_fund_transfer_out,智慧施工管理平台 / 财务中心 / 资金往来办理 / 资金划拨,资金划拨,smart_construction_core.action_sc_fund_transfer_out,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_funding_plan_declaration,智慧施工管理平台 / 财务中心 / 资金计划 / 资金计划申报,资金计划申报,smart_construction_core.action_project_funding_baseline,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_funding_plan_group,智慧施工管理平台 / 财务中心 / 资金计划,资金计划,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_funding_plan_summary,智慧施工管理平台 / 财务中心 / 资金计划 / 资金计划汇总,资金计划汇总,smart_construction_core.action_project_funding_baseline_summary,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_general_contract,智慧施工管理平台 / 合同中心 / 支出合同台账 / 一般合同（公司）,一般合同（公司）,smart_construction_core.action_sc_general_contract,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_historical_payment_fact,智慧施工管理平台 / 财务中心 / 历史付款,历史付款,smart_construction_core.action_sc_historical_payment_fact,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_history_acceptance_archive_center,智慧施工管理平台 / 系统配置 / 历史验收归档（内部）,历史验收归档（内部）,,smart_core.group_smart_core_admin,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_hr_admin_center,智慧施工管理平台 / 人事行政,人事行政,,"smart_construction_core.group_sc_cap_business_config_admin,smart_construction_core.group_sc_cap_business_initiator",1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_income_contract_execution,智慧施工管理平台 / 合同中心 / 收入合同台账 / 收入合同执行,收入合同执行,smart_construction_core.action_construction_contract_income_execution,smart_construction_core.group_sc_cap_contract_read,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_income_contract_group,智慧施工管理平台 / 合同中心 / 收入合同台账,收入合同台账,smart_construction_core.action_sc_income_contract_ledger,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_income_contract_settlement,智慧施工管理平台 / 合同中心 / 收入合同台账 / 收入合同结算,收入合同结算,smart_construction_core.action_sc_settlement_order_income,smart_construction_core.group_sc_cap_settlement_read,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_income_contract_variation,智慧施工管理平台 / 合同中心 / 收入合同台账 / 收入合同签证,收入合同签证,smart_construction_core.action_sc_income_contract_variation,smart_construction_core.group_sc_cap_settlement_read,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_income_expense_user_group,智慧施工管理平台 / 财务中心 / 收支,收支,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_input_invoice_detail_report,智慧施工管理平台 / 统计分析 / 成本报表 / 进项发票明细表,进项发票明细表,smart_construction_core.action_sc_input_invoice_detail_report,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_interfund_movement_fact,智慧施工管理平台 / 财务中心 / 资金分析 / 借款还款与调拨明细,借款还款与调拨明细,smart_construction_core.action_sc_interfund_movement_fact,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_interfund_movement_project_summary,智慧施工管理平台 / 财务中心 / 资金分析 / 项目借还调拨汇总,项目借还调拨汇总,smart_construction_core.action_sc_interfund_movement_project_summary,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_invoice_analysis_report,智慧施工管理平台 / 统计分析 / 成本报表 / 发票分析报表,发票分析报表,smart_construction_core.action_sc_invoice_analysis_report,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_invoice_application_user,智慧施工管理平台 / 财务中心 / 发票税务 / 销项开票申请,销项开票申请,smart_construction_core.action_sc_invoice_application_user,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_invoice_category_summary_report,智慧施工管理平台 / 统计分析 / 成本报表 / 发票分类汇总表,发票分类汇总表,smart_construction_core.action_sc_invoice_category_summary,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_invoice_input,智慧施工管理平台 / 财务中心 / 发票台账 / 进项发票,进项发票,smart_construction_core.action_sc_invoice_input,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_invoice_input_report_user,智慧施工管理平台 / 财务中心 / 发票税务 / 进项税额上报,进项税额上报,smart_construction_core.action_sc_invoice_input_report_user,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_invoice_management_group,智慧施工管理平台 / 财务中心 / 发票台账,发票台账,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_invoice_output,智慧施工管理平台 / 财务中心 / 发票台账 / 销项发票,销项发票,smart_construction_core.action_sc_invoice_output,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_invoice_prepaid_tax_user,智慧施工管理平台 / 财务中心 / 发票税务 / 预缴税款,预缴税款,smart_construction_core.action_sc_invoice_prepaid_tax_user,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_invoice_registration,智慧施工管理平台 / 财务中心 / 发票台账 / 发票总台账,发票总台账,smart_construction_core.action_sc_invoice_registration,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
